epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1146.97,1.06033,1.55168,1.22028,0.88624,0.92325,0.96989,0.55716,1.35023,1.37888,2.1483,0.000474802,0.000474802,0.000474802
2,2694.83,1.05073,0.93476,1.1973,0.96823,0.96055,0.98421,0.75412,0.87828,0.61735,1.25593,0.000932303,0.000932303,0.000932303
3,3693.65,1.03651,0.79241,1.19149,0.91709,0.88182,0.95034,0.69584,0.91928,0.73414,1.40996,0.00137094,0.00137094,0.00137094
4,4897.8,1.01626,0.73301,1.17962,0.94461,0.92891,0.97102,0.76901,0.80219,0.52663,1.24708,0.00134412,0.00134412,0.00134412
5,5889.96,1.00283,0.68883,1.16623,0.96923,0.94916,0.9841,0.73421,0.9648,0.50754,1.24521,0.00131582,0.00131582,0.00131582
6,6876.03,0.97208,0.64298,1.15189,0.93744,0.94959,0.9747,0.74267,0.86799,0.52413,1.24447,0.00128753,0.00128753,0.00128753
7,7866.71,0.95869,0.61425,1.14643,0.98383,0.96655,0.98869,0.79127,0.82014,0.4138,1.19593,0.00125923,0.00125923,0.00125923
8,9272.55,0.95857,0.60711,1.14594,0.91345,0.92307,0.96912,0.77552,0.78845,0.52508,1.20439,0.00123094,0.00123094,0.00123094
9,10716.9,0.94485,0.58056,1.13554,0.94405,0.9543,0.98942,0.81376,0.71038,0.42007,1.13217,0.00120265,0.00120265,0.00120265
10,12079.8,0.93406,0.57477,1.12725,0.92808,0.97883,0.98572,0.79882,0.76684,0.41484,1.18579,0.00117435,0.00117435,0.00117435
11,13218.7,0.91661,0.55936,1.12112,0.96271,0.96967,0.98818,0.78955,0.79758,0.40921,1.17679,0.00114606,0.00114606,0.00114606
12,14193.1,0.90793,0.53722,1.11345,0.94595,0.9807,0.9886,0.81539,0.73149,0.37795,1.15211,0.00111776,0.00111776,0.00111776
13,15192,0.91279,0.5413,1.1242,0.98506,0.98685,0.99026,0.80862,0.75772,0.35231,1.16838,0.00108947,0.00108947,0.00108947
14,16180.1,0.90452,0.5335,1.11936,0.96061,0.94655,0.98144,0.80473,0.74985,0.40843,1.15613,0.00106118,0.00106118,0.00106118
15,17166.2,0.89643,0.5295,1.1165,0.98024,0.98745,0.99089,0.82184,0.70064,0.34294,1.1283,0.00103288,0.00103288,0.00103288
16,18231.2,0.89396,0.51834,1.10736,0.98502,0.98569,0.99038,0.81892,0.7119,0.34111,1.13414,0.00100459,0.00100459,0.00100459
17,1436.74,0.88085,0.49987,1.10213,0.96746,0.98155,0.98951,0.81397,0.73839,0.36344,1.15139,0.000976293,0.000976293,0.000976293
18,2778.84,0.88145,0.50183,1.10319,0.98142,0.96903,0.98885,0.81047,0.73613,0.36783,1.16435,0.000947999,0.000947999,0.000947999
19,4068.83,0.87604,0.49507,1.10424,0.97547,0.97567,0.99023,0.82505,0.69623,0.34405,1.12209,0.000919704,0.000919704,0.000919704
20,5261.99,0.86364,0.48316,1.09996,0.98834,0.97919,0.99159,0.82288,0.71758,0.35177,1.13312,0.00089141,0.00089141,0.00089141
21,6284.3,0.85936,0.48047,1.09541,0.98314,0.98012,0.98929,0.81877,0.72258,0.34344,1.14551,0.000863116,0.000863116,0.000863116
22,7276.84,0.85821,0.47845,1.09453,0.98976,0.98578,0.99097,0.82667,0.69681,0.31628,1.1175,0.000834822,0.000834822,0.000834822
23,8247.6,0.84921,0.46585,1.09033,0.99033,0.97996,0.99177,0.80281,0.77136,0.34553,1.17349,0.000806528,0.000806528,0.000806528
24,9247.29,0.85372,0.46561,1.09271,0.98759,0.98013,0.99285,0.8254,0.69988,0.32668,1.13026,0.000778233,0.000778233,0.000778233
25,10251.4,0.84163,0.45497,1.0874,0.99234,0.98918,0.9895,0.81124,0.74769,0.33001,1.15694,0.000749939,0.000749939,0.000749939
26,11251.7,0.84044,0.45909,1.08423,0.98688,0.98586,0.99082,0.83261,0.67958,0.32213,1.1118,0.000721645,0.000721645,0.000721645
27,12271.1,0.829,0.45049,1.07931,0.98688,0.98682,0.99247,0.83292,0.69391,0.30787,1.11083,0.000693351,0.000693351,0.000693351
28,13385.8,0.82655,0.4406,1.07631,0.99343,0.98318,0.9911,0.82122,0.7095,0.3039,1.12551,0.000665057,0.000665057,0.000665057
29,14728.7,0.82929,0.43885,1.08202,0.98874,0.98983,0.99133,0.83294,0.70928,0.31654,1.11629,0.000636762,0.000636762,0.000636762
30,16072.8,0.82423,0.4368,1.0787,0.95739,0.97922,0.99246,0.83243,0.69238,0.34812,1.1166,0.000608468,0.000608468,0.000608468
31,17448.9,0.81357,0.43415,1.07693,0.97584,0.96923,0.99242,0.83737,0.66416,0.31222,1.08347,0.000580174,0.000580174,0.000580174
32,18437.7,0.81717,0.4291,1.0712,0.99193,0.99019,0.99155,0.81874,0.7416,0.29598,1.12819,0.00055188,0.00055188,0.00055188
33,19415.3,0.82128,0.42825,1.07271,0.98396,0.9807,0.99225,0.83699,0.67064,0.29649,1.0951,0.000523586,0.000523586,0.000523586
34,20385.7,0.81993,0.42449,1.07834,0.99008,0.99047,0.99297,0.81816,0.74269,0.30602,1.12306,0.000495291,0.000495291,0.000495291
